"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"B6","SFO","LGB","JFK","45.0","37.0","130.0","125.0"
"B6","SFO","FLL","JFK","14.0","7.0","-7.0","-19.0"
"B6","SFO","FLL","JFK","14.0","7.0","-7.0","-7.0"
"VX","SFO","LAX","JFK","-6.0","5.0","-3.0","19.0"
"AA","SFO","MIA","JFK","3.0","-23.0","-7.0","-20.0"
"AA","SFO","PHX","JFK","-4.0","-2.0","38.0","-5.0"
"B6","SFO","FLL","JFK","-4.0","-17.0","57.0","49.0"
"B6","SFO","FLL","JFK","-4.0","-17.0","6.0","0.0"
"VX","SFO","LAX","JFK","35.0","23.0","5.0","-2.0"
"B6","SFO","BOS","JFK","76.0","58.0","0.0","-7.0"
"VX","SFO","LAX","JFK","-3.0","-3.0","8.0","-3.0"
"DL","SFO","LAX","JFK","183.0","196.0","6.0","9.0"
"DL","SFO","LAX","JFK","183.0","196.0","17.0","16.0"
"DL","SFO","LAX","JFK","75.0","52.0","33.0","30.0"
"DL","SFO","LAX","JFK","75.0","52.0","-1.0","4.0"
"VX","SFO","LAX","JFK","73.0","79.0","71.0","105.0"
"VX","SFO","LAX","JFK","73.0","79.0","23.0","27.0"
"AA","SFO","DFW","JFK","-2.0","-33.0","33.0","70.0"
"DL","SFO","ATL","JFK","31.0","8.0","3.0","-15.0"
"VX","SFO","LAX","JFK","5.0","-5.0","2.0","1.0"
"AA","SFO","PHX","JFK","-6.0","-18.0","8.0","19.0"
"AA","SFO","MIA","JFK","-4.0","-27.0","50.0","61.0"
"AA","SFO","LAX","JFK","6.0","12.0","-5.0","-4.0"
"AA","SFO","LAX","JFK","-4.0","-16.0","-7.0","-39.0"
"DL","SFO","LAX","JFK","-3.0","-2.0","44.0","4.0"
"DL","SFO","MSP","JFK","11.0","-4.0","8.0","3.0"
"VX","SFO","LAS","JFK","10.0","13.0","-5.0","-10.0"
"AA","SFO","LAX","JFK","-8.0","-15.0","-5.0","-22.0"
"DL","SFO","LAX","JFK","39.0","16.0","13.0","-10.0"
"DL","SFO","LAX","JFK","-5.0","-21.0","0.0","-28.0"
"DL","SFO","LAX","JFK","-5.0","-21.0","-1.0","-9.0"
"AA","SFO","LAX","JFK","-3.0","-14.0","-5.0","-18.0"
"AA","SFO","LAX","JFK","-3.0","-14.0","-5.0","-43.0"
"AA","SFO","DFW","JFK","-3.0","-17.0","0.0","-25.0"
"AA","SFO","PHX","JFK","0.0","-17.0","-3.0","-30.0"
"AA","SFO","PHX","JFK","-7.0","-14.0","0.0","-15.0"
"AA","SFO","LAX","JFK","-3.0","-6.0","3.0","-27.0"
"AA","SFO","LAX","JFK","-3.0","-6.0","-6.0","-14.0"
"DL","SFO","MSP","JFK","25.0","16.0","24.0","26.0"
"AA","SFO","CLT","JFK","-4.0","-12.0","0.0","0.0"
"AA","SFO","MIA","JFK","10.0","-8.0","-1.0","-5.0"
"AA","SFO","PHX","JFK","-1.0","-10.0","2.0","-7.0"
"VX","SFO","LAS","JFK","-4.0","-4.0","21.0","6.0"
"DL","SFO","ATL","JFK","20.0","12.0","1.0","-29.0"
"AA","SFO","DFW","JFK","-4.0","-7.0","26.0","-1.0"
"AA","SFO","MIA","JFK","1.0","22.0","98.0","60.0"
"AA","SFO","CLT","JFK","16.0","12.0","23.0","15.0"
"AA","SFO","CLT","JFK","123.0","119.0","132.0","120.0"
"B6","SFO","FLL","JFK","23.0","16.0","1.0","8.0"
"B6","SFO","FLL","JFK","23.0","16.0","4.0","11.0"
"DL","SFO","ATL","JFK","9.0","-2.0","18.0","8.0"
"VX","SFO","LAS","JFK","-3.0","-10.0","8.0","13.0"
